threshold,precision,recall,f1,accuracy
0.0,0.76,1.0,0.87,0.76
0.05,0.97,1.0,0.98,0.98
0.1,0.98,1.0,0.99,0.99
0.15,0.98,1.0,0.99,0.99
0.2,0.99,1.0,0.99,0.99
0.25,0.99,1.0,1.0,0.99
0.3,0.99,1.0,1.0,1.0
0.35,0.99,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.45,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0
0.55,1.0,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0
0.65,1.0,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0
0.75,1.0,0.99,1.0,0.99
0.8,1.0,0.99,1.0,0.99
0.85,1.0,0.99,0.99,0.99
0.9,1.0,0.98,0.99,0.99
0.95,1.0,0.97,0.99,0.98
1.0,1.0,0.97,0.99,0.98
