threshold,precision,recall,f1,accuracy
0.0,0.76,1.0,0.87,0.76
0.05,0.76,1.0,0.87,0.76
0.1,0.76,1.0,0.87,0.76
0.15,0.76,1.0,0.87,0.76
0.2,0.76,1.0,0.87,0.76
0.25,0.77,1.0,0.87,0.76
0.3,0.77,0.97,0.86,0.75
0.35,0.78,0.95,0.86,0.76
0.4,0.83,0.92,0.88,0.8
0.45,0.88,0.88,0.88,0.82
0.5,0.95,0.82,0.88,0.83
0.55,0.97,0.81,0.88,0.84
0.6,0.98,0.8,0.88,0.83
0.65,0.98,0.79,0.88,0.83
0.7,0.98,0.79,0.88,0.83
0.75,0.98,0.79,0.88,0.83
0.8,0.98,0.79,0.88,0.83
0.85,0.98,0.79,0.88,0.83
0.9,0.98,0.79,0.88,0.83
0.95,0.98,0.78,0.87,0.82
1.0,0.0,0.0,0.0,0.24
